Indicador,Área geográfica,Año,Valor
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2010,93.7719006573
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2011,92.1601174791
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2012,93.7628569431
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2013,93.316267421
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2014,94.7909763847
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2015,94.2438467437
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2016,93.154160431
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2017,92.7062756233
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2018,91.7505284894
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2019,91.2442842424
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2020,92.8875652988
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2021,92.9642435008
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2022,89.5148129118
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2023,91.6092830274
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2024,91.7118242385
