Año,categoria_delito,Total_Anual
2015,EXTORSION,795
2016,EXTORSION,640
2017,EXTORSION,521
2018,EXTORSION,755
2019,EXTORSION,712
2020,EXTORSION,727
2021,EXTORSION,565
2022,EXTORSION,660
2023,EXTORSION,585
2024,EXTORSION,541
2025,EXTORSION,433
2015,FEMINICIDIO,62
2016,FEMINICIDIO,48
2017,FEMINICIDIO,27
2018,FEMINICIDIO,34
2019,FEMINICIDIO,65
2020,FEMINICIDIO,70
2021,FEMINICIDIO,77
2022,FEMINICIDIO,41
2023,FEMINICIDIO,37
2024,FEMINICIDIO,36
2025,FEMINICIDIO,32
2015,HOMICIDIO,1730
2016,HOMICIDIO,1998
2017,HOMICIDIO,2100
2018,HOMICIDIO,2753
2019,HOMICIDIO,2737
2020,HOMICIDIO,2622
2021,HOMICIDIO,2734
2022,HOMICIDIO,2647
2023,HOMICIDIO,2493
2024,HOMICIDIO,2411
2025,HOMICIDIO,2021
2015,NARCOMENUDEO,5037
2016,NARCOMENUDEO,2160
2017,NARCOMENUDEO,1745
2018,NARCOMENUDEO,2316
2019,NARCOMENUDEO,1714
2020,NARCOMENUDEO,1062
2021,NARCOMENUDEO,1134
2022,NARCOMENUDEO,1322
2023,NARCOMENUDEO,1735
2024,NARCOMENUDEO,1983
2025,NARCOMENUDEO,2443
2015,ROBO,27447
2016,ROBO,55865
2017,ROBO,84645
2018,ROBO,83158
2019,ROBO,75883
2020,ROBO,53424
2021,ROBO,52067
2022,ROBO,46181
2023,ROBO,42124
2024,ROBO,38449
2025,ROBO,32245
2015,SECUESTRO,20
2016,SECUESTRO,16
2017,SECUESTRO,13
2018,SECUESTRO,16
2019,SECUESTRO,20
2020,SECUESTRO,13
2021,SECUESTRO,19
2022,SECUESTRO,22
2023,SECUESTRO,16
2024,SECUESTRO,16
2025,SECUESTRO,15
2015,VIOLENCIA_FAMILIAR,8382
2016,VIOLENCIA_FAMILIAR,10545
2017,VIOLENCIA_FAMILIAR,9275
2018,VIOLENCIA_FAMILIAR,8749
2019,VIOLENCIA_FAMILIAR,10823
2020,VIOLENCIA_FAMILIAR,11880
2021,VIOLENCIA_FAMILIAR,12613
2022,VIOLENCIA_FAMILIAR,13746
2023,VIOLENCIA_FAMILIAR,16891
2024,VIOLENCIA_FAMILIAR,14545
2025,VIOLENCIA_FAMILIAR,12317
2015,VIOLENCIA_SEXUAL,2049
2016,VIOLENCIA_SEXUAL,2955
2017,VIOLENCIA_SEXUAL,2945
2018,VIOLENCIA_SEXUAL,2731
2019,VIOLENCIA_SEXUAL,3011
2020,VIOLENCIA_SEXUAL,2811
2021,VIOLENCIA_SEXUAL,3236
2022,VIOLENCIA_SEXUAL,4204
2023,VIOLENCIA_SEXUAL,6028
2024,VIOLENCIA_SEXUAL,6252
2025,VIOLENCIA_SEXUAL,6283
